ID,word,final_normalized_detail
26460,مختص,اختصاص يافته، آنچه خاص کسي يا چيزي باشد.
26461,مختصات,مجموعة دو يا سه عددي که به کمک آنها وضع يک نقطه در صفحه يا در فضا يا بر روي کره مشخص مي‌شود.
26462,مختصر,کوتاه شده.
26463,مختصم,با يکديگر خصومت کننده.
26464,مختفي,پنهان شده، پنهان شونده.
26465,مختل,تباه شده، آشفته و به هم خورده، داراي اختلال.
26466,مختلس,دزدي کننده، کسي که اختلاس مي‌کند.
26467,مختلط,به هم آميخته، درهم ريخته، مخلوط شده.
26468,مختلف,گوناگون، جورواجور.
26469,مختنق,خفه شونده، گلوي فشرده شده.
26470,مختوم,مهر کرده شده. به آخر رسانیده شده.
26471,مختون,ختنه شده.
26472,مخچه,قسمتي از دستگاه مرکزي اعصاب که در زير و عقب مخ قرار گرفته و مانند مخ  داراي قشر خاکستري رنگ در داخل است و به وسيلة سه زوج دنبالة فوقاني و تحتاني و مياني به مراکز اعصاب ارتباط دارد. عمل مخچه عبارت از تنظيم انقباضات عضلاني و تعادل بدن است.
26473,مخدر,سست کننده، آنچه که باعث رخوت و خواب و سستي اعصاب مي‌شود، داراي ويژگي تخديرکننده.
26474,مخدرات,جِ مخدره.
26475,مخدره,زن باحجاب و پرده نشين. ج. مخدرات.
26476,مخدع,صندوقخانه. ج. مخادع.
26477,مخده,نازبالش، پشتي.
26478,مخدوش,خراشيده شده، خدشه دار شده.
26479,مخدوم,خدمت کرده شده. سرور، آقا، ارباب.
26480,مخذول,بی بهره، خوار شده. کسی که از یاری کردن به او خودداری کنند.
26481,مخراش,چوب سر کج.  خط کش چرم دوزان.
26482,مخراق,مرد نیک اندام.  جوانمرد. چیزی شبیه تازیانه که از پارچة دراز درهم بافته درست می‌کنند.
26483,مخرب,ويران کننده.
26484,مخرج,بيرون آمده، استخراج شده.
26485,مخرج,جای خروج.  عددی که در زیر خط کسری قرار گرفته‌است. جایگاه تولید هر یک از آواهای زبان. ج. مخارج.
26486,مخرج,خراج دهنده، ادا کنندة باج.
26487,مخرق,پاره پاره کننده، درنده. بسیار دروغگو.
26488,مخرقه,دروغ، نيرنگ.
26489,مخرم,بيني کوه.
26490,مخروب,خراب شده، ويران شده.
26491,مخروط,از اشکال هندسي شبيه به کله قند که قائده اش دايره‌است و به نقطه‌اي در بالا که رأس نام دارد منتهي مي‌شود.
26492,مخروطات,جِ مخروطه.  مخروط‌ها. بخشی از هندسه که دربارة خواص مقاطع مخروطی بحث می‌کند.
26493,مخزن,گنجينه، انبار. ج. مخازن. ؛ ~ کتاب  محلي که در آن کتاب‌ها را در قفسه‌ها و دولاب‌ها به ترتيب چينند، گنجينه.
26494,مخزوم,سوراخ کرده، کسي که بيني اش سوراخ شده باشد.
26495,مخزون,در خزانه نهاده شده، ذخيره کرده شدن.
26496,مخصب,مکاني که در آن خير و برکت و فراواني باشد.
26497,مخصص,خاص کرده شده، تخصيص يافته.
26498,مخصوص,خاص، ويژه.
26499,مخصوصاً,بويژه، بخصوص.
26500,مخضرم,مرد ختنه ناکرده. سیاهی که پدرش سفیدپوست باشد. آن که دعوی نسبتی کند و دعوی او راست نباشد. آن که بخشی از عمر خود را در عهد جاهلیت و بخش دیگر را در دورة اسلام گذرانیده.
26501,مخطط,خط خط شده، خط دار، خط خطي.
26502,مخطي,خطاکار، گناهکار.
26503,مخفف,سبک کننده. کاهنده.
26504,مخفف,تخفیف داده شده، سبک شده.  حرف بدون تشدید. در فارسی گاهی بعضی حروف را حذف کنند و آن را مخفف نامند: همواره = هماره. سپاه = سپه.
26505,مخفي,پنهان، پوشيده.
26506,مخفيانه,پنهاني.
26507,مخل,اخلال کننده، فاسدکننده.
26508,مخلات,توبره. چنته.
26509,مخلاف,روستا، ده.
26510,مخلب,چنگال، دندانه. ج. مخالب.
26511,مخلخل,رخنه شده، دارای رخنه. خلخال به پا کرده.  موضع خلخال در ساق پا.
26512,مخلد,جاويد، دايم.
26513,مخلص,خلاصه.
26514,مخلص,بي ريا، صميمي.
26515,مخلص,خالص، صاف.
26516,مخلط,آمیخته کننده. فساد کننده، تخلیط کننده، دو به هم زدن.
26517,مخلف,آن که کسی را جانشین خود کند، جانشین کننده. آن که وعدة خلاف کند. در فارسی: کبوتر بچه‌ای که پر بر پایش رسته باشد. پسر خوش شکل.
26518,مخلف,آن که چیزی را از خود بجا می‌گذارد. آنکه کسی را خلیفه و جانشین خود کند.
26519,مخلفات,خوردنی‌هایی که با غذای اصلی مصرف می‌شود. وسیله‌های جانبی یا فرعی یک دستگاه.
26520,مخلوط,آميخته شده، به هم آميخته، به گونه‌اي که قابل جداسازي باشند. مق. محلول.
26521,مخلوع,برکنده شده، عزل شده، خلع شده.
26522,مخلوق,آفريده شده، موجود.
26523,مخلي,خالی شده.  رها شده. جای خالی.
26524,مخمر,سرشته شده، تخمير شده.
26525,مخمر,تخميرکننده.
26526,مخمس,پنج تایی. شعری که هر بند آن پنج مصراع باشد.
26527,مخمش,خدشه وارد آمده، مخدوش.
26528,مخمصه,گرسنگی، خالی بودن معده. رنج، زحمت، گرفتاری.
26529,مخمل,پارچة لطيف نخي يا ابريشمي که پرزهاي نرم دارد.  ؛ ~کبريتي مخمل داراي تار نخي و پود راه راه برجسته.
26530,مخملک,بيماري واگيردار که عامل آن يک نوع استرپتوکوک است و داراي سمي است که توليد دانه‌هاي قرمزي مي‌کند.
26531,مخمور,مست، خمارآلود.
26532,مخنث,مردی که در جماع ناتوان باشد و حالات زنانه داشته باشد. کنایه از: بی غیرت و بی حمیت.
26533,مخنده,جنبنده، حرکت کننده. خزنده. هوام. شپش.
26534,مخنق,خفه کننده. در علم عروض «مفعولن» چون در حشو بیت افتد و از «مفاعیلن» منشعب باشد، آن را مخنق خوانند.
26535,مخنقه,قلاده، گردن بند.
26536,مخنوق,خفه کرده شده، گلو افشرده.
26537,مخوف,ترسناک.
26538,مخيدن,جنبیدن، خزیدن. چسبیدن.
26539,مخيده,جنبنده، خزنده.
26540,مخير,عمل خیر کننده. سخی.
26541,مخير,اختيار داده شده.
26542,مخيز,مهميز.
26543,مخيط,دوخته شده.
26544,مخيط,سوزن. محل عبور، گذرگاه.
26545,مخيل,خيال کننده.
26546,مخيله,قوة تخيل و تصور.
26547,مخيله,گمان، پندار. کبر، تکبر. ابری که آن را بارنده گمان برند.
26548,مخيم,جایی که در آن خیمه زنند، خیمه گاه. اردوگاه، معسکر.
26549,مد,کشش، کشیدگی. بالا آمدن آب دریا بر اثر جاذبة ماه و خورشید.  علامتی به این شکل «~» که بالای الف ممدوده گذاشته می‌شود.
26550,مد,سليقه و روشي که باب روز است. اعم از طرز زندگي، سر و وضع ظاهري و غيره. و معمولاً گذراست و در زمان‌هاي مختلف تغيير مي‌کند.
26551,مداح,بسيار ستايش کننده و مدح کننده.
26552,مداخل,درآمد به ويژه درآمد فرعي و جانبي.
26553,مداخله,دخالت کردن، داخل شدن در کاري.
26554,مداد,مرکب. نوعی قلم که دارای مغزی به رنگ‌های مختلف است که از آن برای نوشتن یا نقاشی کردن استفاده می‌کنند.
26555,مداد پاک کن,وسيله‌اي از ترکيبات لاستيک براي زدودن اثر مداد.
26556,مداد تراش,وسيله‌اي با يک تيغة ثابت يا چرخان براي تيز کردن يا تراشيدن نوک مداد.
26557,مدار,جای دور زدن و گردیدن. در اصطلاح جغرافیا عبارت از خطی است که سیارات به دور خورشید می‌پیمایند.  ؛ ~  رأس الجدی  مدار َ ْ عرض جنوبی کرة زمین که خورشید در روز اول دی ماه به آن عمود می‌تابد و منطقة معتدل جنوبی از پایین آن تا مدار جنوبگان را شامل می‌شود. ؛ ~  رأس السَّرطان  مدار َ ْ عرض شمالی کرة زمین که خورشید در روز اول تیرماه بر آن عمود می‌تابد و منطقة معتدل شمالی از بالای آن تا مدار شمالگان را شامل می‌شود.
26558,مدارا,همکاري، همراهي يا همزيستي با ديگران.
26559,مدارا کردن,نرمي کردن، خوشرفتاري نمودن.
26560,مدارات,با کسی ملایمت و نرمی کردن.  نرمی، لطف، مهربانی.
26561,مدارج,جِ مدرج ؛ درجه‌ها، پايه‌ها، رتبه‌ها.
26562,مدارس,جِ مدرسه.
26563,مدارک,جِ مدرک.
26564,مداعبه,شوخي کردن، مزاح کردن.
26565,مدافع,دفاع کننده.
26566,مدافعه,یکدیگر را راندن و دور کردن. دفاع کردن.
26567,مداقه,دقت کردن، باريک بيني کردن.
26568,مدال,نشان، نشان افتخار، نشان فلزي که براي قدرداني از خدمات کسي به او اعطا مي‌شود.
26569,مدالست,فریفتن. ستم کردن.
26570,مدام,همیشه، جاوید.  شراب انگوری.
26571,مدامع,جِ مدمع. چشمه‌ها. مجرای اشک. کُنج چشم.
26572,مداهنه,خدعه کردن، دورویی کردن. چاپلوسی.
26573,مداوا,درمان کردن، دوا کردن.
26574,مداولت,مداومت. دور زدن. انقلاب زمانه.
26575,مداوم,دوام دهنده، ادامه دهنده.
26576,مداومت,دوام دادن، ادامه يافتن.
26577,مدايح,جِ مديحه، ستايش‌ها، مديحه‌ها.
26578,مداين,جِ مدینه. شهرها. نام شهر قدیمی تیسفون.
26579,مدبر,تدبيرکننده، صاحب تدبير.
26580,مدبر,بخت برگشته، بدبخت.
26581,مدبري,بدبختي، بداقبالي.
26582,مدبوغ,دباغت شده، دباغي گشته.
26583,مدت,زمان، وقت.
26584,مدثر,لباس به خود پيچيده.
26585,مدح,ستودن، ستايش.
26586,مدحت,نک  مدح.
26587,مدحور,رانده، دور کرده.
26588,مدخر,اندوخته شده، پس انداز شده.
26589,مدخل,راه داخل شدن. ج. مداخل. محل درآمد.
26590,مدخل,داخل کننده، درآورنده.
26591,مدخنه,جاي بخور، بوي سوز، مجمر.
26592,مدخول,داخل شده، درآورده شده.  جایی که چیزی در آن داخل شده باشد.  کسی که در عقل وی فساد بود. لاغر. ج. مدخولین.
26593,مدد,ياري، دستگيري.
26594,مددکار,یاری دهنده. مددکار اجتماعی.
26595,مدر,کلوخ، گل سخت. روستا، ده.
26596,مدر,ادرار آور.
26597,مدرار,بسيار ريزنده، بسيار بارنده.
26598,مدرب,آن که به کاری عادت کرده کردن. ورزیده مجرب.  گرفتار.
26599,مدرج,جاي رفتن و گذشتن. ج. مدارج.
26600,مدرج,درجه دار، پله پله شده.
26601,مدرجه,راه. وسیله و روشی که برای ترقی شخصی به کار رود.
26602,مدرس,جاي درس گفتن.
26603,مدرس,معلم.
26604,مدرسه,محل درس دادن و علم آموختن. ج. مدارس.
26605,مدرک,دريابنده، درک کننده.
26606,مدرک,دليل، سند، مأخذ. ج. مدارک.  ؛ ~ تحصيلي  نوشته‌اي رسمي که نشان مي‌دهد شخصي دورة تحصيلي معيني را گذرانده‌است.  ؛ ~ ِ تخصصي  نوشته‌اي که نشان مي‌دهد شخصي تخصص در يک رشته عم لي  يا فني را گذارنده‌است.
26607,مدرکات,جِ مدرکه ؛ آن چه از اشيا ادراک شود.
26608,مدرکه,ذهن، عقل، نيرويي در انسان که حقيقت چيزها با آن دريافت مي‌شود.
26609,مدرن,تازه، باب روز.
26610,مدرنيزه,مجهز يا نوسازي شده با وسيله‌ها، اسباب‌هاي سبک با کاربرد امروزي.
26611,مدرنيست,نوگرا .
26612,مدرنيسم,= مدرنيته: طرفداري از آن چه نو و بديع باشد، راه و رسم جديد.
26613,مدروس,کهنه، فرسوده شده.
26614,مدري,شانه. سیخ. شاخ . تخت.
26615,مدعو,دعوت شده، خوانده شده.
26616,مدعي,دعوي کرده شده، ادعا کرده شده.
26617,مدعي,خواهان. ادعا  کننده.
26618,مدغم,ادغام شده، حرفي که در حرف ديگر همجنس يا قريب المخرج داخل شود و يک حرف مشدد تلفظ گردد. مثلاً دال در «مدت».
26619,مدفع,جاي گرد آمدن آب، مجراي آب. ج. مدافع.
26620,مدفن,گور، جاي دفن.
26621,مدفوع,دفع شده، رانده شده. گُه، نجاستی که از مقعد انسان خارج شود.
26622,مدفون,دفن شده، به خاک سپرده شده.
26623,مدقق,باریک گردانیدن. کار دقیق کننده. نکته‌های دقیق پیدا کننده.
26624,مدقوق,کوفته شده. لاغر و باریک. آن که مرض دق دارد.
26625,مدل,دلالت کننده، راهنما.
26626,مدل,نمونه، سرمشق، الگو. هر چیز و هر کس اعم از مجسمه و انسان و غیره که در برابر هنرمند قرار گیرد تا از روی آن نقاشی کند یا مجسمه بسازد.
26627,مدلس,آن که عیب کالای خود را از خریداران پنهان کند.  خدعه کننده. کسی که خود را مقدس جلوه دهد و نباشد.
26628,مدلل,با دليل آورده شده، داراي دليل.
26629,مدلهم,سیاه، تاریک. شب تاریک.
26630,مدلول,دلالت کرده شده، رهنمون شده.
26631,مدمج,سخت محکم در آمده در چيزي.
26632,مدمر,هلاک کننده، دمار برآورنده.
26633,مدمغ,غذای چرب کرده شده. در فارسی: کسی که دماغ  و نخوت دارد؛ پرنخوت، متکبر.
26634,مدن,جِ مدينه ؛ شهرها.
26635,مدنگ,کلید، دندانة کلید. قفل، کلون.
26636,مدني,شهرنشین. آیاتی که در مدینه بر پیامبر  نازل شد.
26637,مدنيت,شهر  نشيني، تمدن.
26638,مدهش,وحشت آور، هراسناک.
26639,مدهن,چاپلوس، متملق.
26640,مدهن,چرب کرده. به روغن طلا کرده.  چرب.
26641,مدهوش,بيهوش، سرگشته.
26642,مدهون,روغن مالیده. چرم، چرم رنگ شده.
26643,مدور,گرد، دايره‌اي.
26644,مدون,تدوين شده، گردآورده شده.
26645,مديتيشن,نوعي روش تمرکز که هدف آن به دست آوردن آرامش و اصلاح کيفيات رواني است.
26646,مديح,ستايش.
26647,مديحه,ستايش. ج. مدايح.
26648,مديحه سرا,آن که عادت يا گرايش به سرودن مديحه دارد، مديحه گو.
26649,مديد,کشیده شده، دراز، طولانی. نام یکی از بحور شعر بر وزن فاعلاتن فاعلن فاعلاتن.
26650,مدير,اداره کننده.  ؛ ~عامل مديري که از طرف هيئت مديره براي ادارة امور جاري شرکت تعيين مي‌شود.  ؛ ~کل مديري که امور يک ادارة کل در يک وزارتخانه يا مؤسسة بزرگ به عهده اوست. ؛ ~ مسئول  کسي که در مورد شغل يا فعاليت معيني مسئول پاسخگويي نزد مقام‌هاي دولتي است.
26651,مديريت,مدیر بودن، مدیری. علم و هنر متشکل کردن، همآهنگ کردن.
26652,مدينه,شهر. ج. مدن، مداين.  ؛ ~ي فاضله  آرمان شهر.
26653,مديوم,واسطه، شخصي که واسطة احضار ارواح شود.
26654,مديون,قرض دار، بدهکار.
26655,مذاب,گداخته شده، آب شده.
26656,مذاق,طعم، مزه. محل قوة ذائقه. اندام چشایی.
26657,مذاکرات,جِ مذاکره.
26658,مذاکره,گفتگو کردن دربارة کاري يا امري.
26659,مذال,دامن داده.
26660,مذاهب,جِ مذهب. دین‌ها و آیین‌ها. روش‌ها، طریقه‌ها.
26661,مذبح,جاي قرباني کردن، کشتارگاه. ج. مذابح.
26662,مذبذب,در ترديد و شک افتاده.
26663,مذبذب,مردُد، دو دل.
26664,مذبوح,گلو بريده، کشته شده، ذبح شده.
26665,مذعان,منقاد، مطيع.
26666,مذکر,به یاد آورنده. وعظ کننده، واعظ.
26667,مذکر,نر. مربوط یا متعلق به جنس نر.
26668,مذکور,ذکر شده، ياد شده.
26669,مذل,خوار دارنده.
26670,مذلت,خواري، ذليلي.
26671,مذمت,نکوهش، سرزنش.
26672,مذموم,نکوهيده، سرزنش شده.
26673,مذنب,گناهکار.
26674,مذهب,دین، آیین. راه، روش. ج. مذاهب.
26675,مذهب,زر اندود شده.
26676,مذهبي,مربوط یا منسوب به مذهب. دیندار مؤمن و معتقد به مذهب.
26677,مذوق,چشيده شده.
26678,مذيل,دامن دار.  کتاب یا رساله‌ای که در ذیل آن شرح داشته باشد.
26679,مذيل,کسی که دامن جامه را بلند سازد. آنکه بر مطلبی یا کتابی ذیلی نویسد.
26680,مر,پیمانه، اندازه. شماره، حساب.
26681,مر,تلخ.
26682,مر,گذشتن، گذشتن بر چيزي.
26683,مر,به معنی برای. گاهی زائد است و تنها برای زینت کلام می‌آید.
26684,مرء,مرد، رجل.
26685,مرا,من را، آن را در موارد ذیل آید: به صورت مفعول. به صورت مسندالیه. به معنی «برای من».
26686,مراء,ستیزه کردن، جدال کردن.  جدال، ستیزه.
26687,مرابح,سود گيرنده، ربح گيرنده ؛ ج. مرابحين.
26688,مرابحه,سود دادن، نفع دادن. ربح گرفتن.
26689,مرابض,ج مربض. مأوای گوسفندان به شب. مأوای سباع مانند شیر و گرگ.
26690,مرابط,رابطه دارنده. مواظب و ملازم سرحد. مروج ایمان.
26691,مرابطه,با هم رابطه داشتن. مداومت و مواظبت کردن.
26692,مرابع,جِ مَربَع. منازل، جاي اقامت.
26693,مرات,جِ. مرة ؛ دفعه‌ها، مرتبه‌ها.
26694,مراتب,جِ مرتبه.
26695,مراتع,جِ مرتع ؛ چراگاه‌ها.
26696,مراثي,جِ مرثيه.
26697,مراجع,در تداول فارسي به معناي مراجعه کننده، رجوع کننده. ج. مراجعين.
26698,مراجع,جِ مرجع.  ؛ ~ تقليد مجتهداني که مردم از آنان در احکام شرعي تقليد کنند.  ؛ ~ قانون  منابعي که قوانين از آن‌ها اقتباس و استنباط شده‌است.  ؛ ~قانوني  مؤسسات و اداراتي که بر طبق قانون براي مراجعة افراد به منظور تنظيم روابط افراد با همديگر و روابط افراد با دولت تأسيس شده‌اند.
26699,مراجعه,رجوع کردن، بازگشتن، رفتن به جايي يا نزد کسي براي انجام کاري.
26700,مراحل,جِ مرحله ؛ منزل‌ها، مرحله‌ها.
26701,مراحل نشين,مسافر. هر یک از سیارات هفتگانه.
26702,مراحم,جِ مرحمت.
26703,مراد,منظور، مقصود. خواسته، اراده شده.
26704,مرادف,هم معني.
26705,مرادفت,پشت سر و ترک کسي سوار شدن.
26706,مرار,جِ مرة ؛ دفعه‌ها، مرتبه‌ها.
26707,مرارت,تلخي.
26708,مراسل,نامه فرستنده ؛ ج. مراسلين.
26709,مراسله,به هم نامه نوشتن، نامه فرستادن.  نامه، مکتوب. ج. مراسلات.
26710,مراسم,جِ مرسوم.
26711,مراضعه,شير دادن.
26712,مراعات,رعايت يکديگر را کردن.  ؛ ~النظير در علم بديع آوردن کلماتي که به گونه‌اي با يکديگر مناسبت و ارتباط داشته باشند.
26713,مراعي,جِ مرعي.
26714,مراعي,مراعات کننده.
26715,مراغه,جاي غلتيدن ستوران.
26716,مراغه کردن,به خاک غلتيدن.
26717,مرافدات,معاونت کردن، ياري کردن.
26718,مرافعه,نزاع کردن، درگير شدن.
26719,مرافق,جِ مرفق ؛ آرنج‌ها.
26720,مرافقه,دوست شدن، همراه شدن.
26721,مراقب,نگهبان، مراقبت کننده.
26722,مراقبت,نگاهبانی. دیده بانی کردن.
26723,مراقبه,مواظبت کردن. نگاهبانی کردن.
26724,مراقد,جِ مرقد.
26725,مراقي,جِ مرقاة. هر ابزاري که با آن بالا روند مانند: نردبان، پله.
26726,مراکب,جِ مرکب.
26727,مراکردن,پیکار کردن، جدال کردن. کوس برابری زدن.
26728,مراکز,جِ مرکز.
26729,مرال,آهو، غزال.
26730,مرام,هدف، مقصود.
26731,مرامات,همديگر را تير انداختن.
26732,مراهق,پسر نزدیک به بلوغ. کسی که آخر وقت نماز خواند.
26733,مراهنه,گرو   گذاری. شرط بندی.
26734,مراوده,دوستي و آمد و شد داشتن.
26735,مراوغت,عیب جویی کردن. کشتی گرفتن، زو ر آزمایی کردن. یکدیگر را فریب دادن.
26736,مرايا,جِ مرآة.
26737,مرائي,رياکار، متظاهر.
26738,مرأة,زن.
26739,مرآت,آ ي ينه. ج. مرايا، مرائي.
26740,مربا,تربیت شده.  نوعی خوردنی شیرین که از انواع میوه‌ها یا پوست مرکبات با شکر تهیه می‌شود.
26741,مربح,سود ده، نفع بخش، پُرسود.
26742,مربط,جاي بستن.
26743,مربع,چهارگوش.  متوازی الاضلاعی که چهار ضلعش با هم برابر و زاویه‌هایش قائمه باشند.
26744,مربع نشستن,چهارزانو نشستن. حالتي از نشستن براي مهتران و بزرگان که زيردستان در مقابلشان دو زانو مي‌نشستند.
26745,مربوب,پرورده شده. بنده، عبد، مملوک ؛ ج. مربوبین.
26746,مربوط,بسته شده، وابسته، داراي پيوند.
26747,مربي,پرورش دهنده.
26748,مربي,تربيت شده.
26749,مرت,يک بار، يک دفعه. ج. مرات، مرار.
26750,مرتاب,آن که در شک و ترديد باشد.
26751,مرتاح,بانشاط، شادان، مسرور.
26752,مرتاض,رياضت کش، رياضت کشيده.
26753,مرتب,بانظم و ترتیب. ترتیب داده شده.
26754,مرتباً,با ترتیب و نظم. پی در پی، پشت سر هم.
26755,مرتبط,ربط داده شده، پيوسته.
26756,مرتبه,پايه، منزلت. ج. مراتب.
26757,مرتبه دار,صاحب منصب، صاحب مقام، مأمور تشريفات.
26758,مرتجع,بازگشت کننده. کهنه پسند.
26759,مرتجل,شعر يا سخني که بي تأمل گفته شود.
26760,مرتجلاً,بدون تفکر و تأمل سخن گفتن.
26761,مرتحل,کوچ کننده، راهي شونده.
26762,مرتد,برگشته از دين.
26763,مرتدع,باز ايستنده از کاري.
26764,مرتزق,هرچيز که از آن روزي خورند.
26765,مرتسم,منقش. زردوزی شده. مرسوم.
26766,مرتسم,نقش گيرنده، نفش پذير.
26767,مرتشي,رشوه گيرنده.
26768,مرتضوي,منسوب به مرتضی . منسوب به مرتضی علی .
26769,مرتضي,پسنديده و برگزيده.
26770,مرتع,چراگاه. ج. مراتع.
26771,مرتعب,ترسنده، ترسان، خايف ؛ ج. مرتعبين.
26772,مرتعش,لرزان، لرزنده، داراي ارتعاش.
26773,مرتغب,تشويق کننده، برانگيزاننده.
26774,مرتفع,بلند و رفيع، بلند شونده.
26775,مرتفع ساختن,برافراشتن، بلند کردن. برطرف کردن، از بین بردن، رفع شده.
26776,مرتقب,ديده بان، چشم به راه.
26777,مرتکب,انجام دهندة کاري ناروا.
26778,مرتکز,ثابت، مستقر، جايگزين.
26779,مرتهن,گروگان، به رهن گرفته شده.
26780,مرتيکه,= مرديکه: مرد .
26781,مرثيه,شعر يا سخني که در مدح و سوگواري مرده خوانده شود.
26782,مرج,مرز. زمینی که کناره‌های آن را بلند ساخته در درون آن چیزی بکارند.
26783,مرج,درهم و برهم کردن. ایجاد فساد کردن.
26784,مرج,چراگاه.  به چراگاه فرستادن چرنده.   چریدن چرنده.
26785,مرجان,نوعي از جانوران دريايي شبيه به گياه که مانند گياه به زمين نمي‌چسبد.
26786,مرجانه,واحد مرجان ؛ مرواريد کوچک.
26787,مرجب,بزرگ و با هیبت. قربانی شده در ماه رجب.
26788,مرجح,برتري داده شده، ترجيح داده شده.
26789,مرجز,کسی که برایش شعری در بحر رجز خوانده شده. سبک یکی از اقسام نثر و آن چنان است که کلمات دو عبارت هم وزن باشند نه هم سجع ؛ مق. نثر مسجع و نثر مرسل .
26790,مرجع,محل بازگشت، محل رجوع. ج. مراجع. شخص  یا  مقامی که می‌توان برای درخواستی به نزدش رفت.  نوشته‌ای که برای به دست آوردن اطلاعاتی می‌توان به آن مراجعه کرد.  ؛~ تقلید مجتهدی که در موضوع‌های دینی از او پیروی می‌کنند.
26791,مرجعيت,مرجع بودن. مرجع تقلید بودن، مجتهد.
26792,مرجل,ديگ. ج. مراجل.
26793,مرجو,عدس.
26794,مرجو,اميد داشته شده.
26795,مرجوح,رجحان داده، برتري داده شده ؛ ج. مرجوحين.
26796,مرجوع,بازگشت شده.
26797,مرجوم,سنگسار شده، رانده شده.
26798,مرح,شادمان شدن. خرامیدن به ناز. تباه شدن.
26799,مرح,متبختر از نشاط و فرح.
26800,مرحب,فراخی، سعه. نامی است از نام‌های مردان.
26801,مرحبا,آفرين ؛ کلمه‌اي که در تحسين استعمال مي‌کنند.
26802,مرحل,آنجا که کوچ کنند؛ مسکن.
26803,مرحله,منزل، منزلگاه.
26804,مرحله دار,نگهبان جاده‌اي که در ميان دو منزلگاه واقع است.
26805,مرحمت,مهرباني، لطف.
26806,مرحوم,آمرزيده شده، مجازاً: شخص درگذشته.
26807,مرحومه,مؤنث مرحوم.
26808,مرخشه,نحس، شوم.
26809,مرخص,اجازه داده شده. آزاد شده.
26810,مرخصي,اجازه، رخصت. آزادی. رهایی پس از خاتمة کار.
26811,مرخم,کوتاه شده. کلمه‌ای که دنبالة آن بریده شده باشد.
26812,مرخي,سست کننده. دارویی را گویند که به قوت حرارت و رطوبت خود قوام اعضای کثیفة المسام را نرم و مسامات آن را وسیع بگرداند تا آن که به سهولت و آسانی فضول مجتمعه و محتبسة در آن‌ها دفع شود، مانند ضماد شوید  و بذر کتان.
26813,مرد,بازگردانیدن.  رد، بازگشت.
26814,مرد,مردن، مرگ.
26815,مرد,مقابل زن. ج. مردان. کنایه از: شجاع، دلیر، بخشنده.
26816,مرداب,تالاب، آبگير.
26817,مرداد,نام روز هفتم از هر ماه خورشیدی.  نام ماه پنجم از سال  خورشیدی. امشاسپند موکل بر گیاه.
26818,مردادگان,روزمرداد  از ماه مرداد که ايرانيان باستان آن را جشن مي‌گرفتند.
26819,مردار,لاشه. نجس، پلید.
26820,مرداس,سر، رأس. سنگ   کوب. سنگی که به ته چاه اندازند تا معلوم شود که آب دارد یا نه.
26821,مردانگي,مرد بودن، رجولیت.  دلیری، شجاعت. دارای خصوصیات خوب انسانی.
26822,مردانه,منسوب و مربوطه به مردان.  مانند مردان. شجاعانه، دلاورانه.
26823,مرداوژن,دلير، نيرومند.
26824,مردد,دودل.
26825,مردرند,آدم زرنگ و حقه باز.
26826,مردف,شعري که علاوه بر قافيه، رديف هم داشته باشد.
26827,مردکه,= مرتيکه: مردک، براي توهين و تحقير به کار مي‌رود.
26828,مردگيران,جشني بود در ايران باستان که در پنج روز آخر اسنفدارماه بر پا مي‌شد. در اين پنچ روز زنان بر مردان مسلط بودند و هر آرزويي که مي‌کردند تحقق مي‌يافت ؛ از اين رو آن را مردگيران گفتند.
26829,مردم,انسان، آدمی. مردمک چشم. ج. مردمان.
26830,مردم پسند,موردپسند و توجه تودة مردم عادي و نه برگزيدگان جامعه، عوام پسند.
26831,مردم سالاري,نک  دموکراسي.
26832,مردم شناسي,شناختن اخلاق و آداب مردمان. علمی است که انسان را در سلسلة حیوانات مورد مطالعه قرار می‌دهد و از نژادهای مخلف انسان و طرز زندگی و وضع اجتماعی مردم کشورها و اقالیم مختلف بحث می‌کند و آن در حقیقت تاریخ طبیعی انسان به شمار می‌رود.
26833,مردمک,سياهي ميان دايرة چشم.
26834,مردمي,وضع يا کيفيت داشتن رفتارها و منش‌هاي انساني ؛ انسانيت.
26835,مردن,فوت شدن، از دنيا رفتن.
26836,مردنگي,نوعي شيشة چراغ بزرگ و دهان گشاد که بر روي شمع يا چراغ مي‌گذاشتند تا از وزش باد خاموش نشود.
26837,مردني,نزدیک به مرگ. بسیار ضعیف و لاغر.
26838,مرده,بي جان، فوت شده. ج. مردگان.
26839,مرده خوار,لاشخور. کسی که برای خوردن غذا در مراسم ختم و عزاداری شرکت می‌کند.
26840,مرده ري,= مردری: مرده ریگ، میراث. مجازاً پست، ناچیز، فرومایه.
26841,مرده ريگ,ميراث، ارث.
26842,مرده شور,= مرده شوي: کسي که شغلش شستشو و غسل دادن مردگان است.
26843,مرده شوي خانه,= مرده   شورخانه: جايي که مرده شوي مرده را شست و شو و غسل دهد، غسال خانه.
26844,مردود,رد شده، طرد شده.
26845,مردي,مرد بودن، رجولیت. آراستگی به صفات نیک انسانی.  شجاعت، دلاوری. توانایی انجام امور جنسی را با زن داشتن.
26846,مرذول,ناکس، سفله.  فرومایه، پست.
26847,مرز,مقعد. سوراخ مقعد.
26848,مرز,سرحد، کناره.
26849,مرز,شرابي که از گندم و گاورس و جو سازند، بوزه.
26850,مرز و بوم,مملکت، کشور.
